Pinyin,Wade-Giles,Romatzyh,Palladiy
фенг,фенг,фенг,фэн
ган,кан,ган,гань
ганйинг,канчинг,ганйинк,гань цзин
ганшенме,каншенме,ганншернме,гань ши яо
гао,као,гау,гао
гаоxинг,каохсинг,гаушинк,гао син
геге,коге,геге,гэ гэ
ге,ко,ге,гэ
ге,ко,ге,гэ
ге,ко,гех,гэ
геи,кеи,гееи,гэй
ген,кен,ген,гэнь
гонгрен,кунгйен,гонгрен,гун жэнь
гонгзуо,кунгцо,гонгтзуох,гун цзо
гуан,куан,гуан,гуань
гуаншанг,куаншанг,гуаншанк,гуань шан
гуи,куеи,гуеы,гуй
гуо,куо,гуоо,го
гуойиа,куочиа,гуоойиа,го цзя
гуоуоаи,куоуоаи,гуооуоаы,го вай
хаиши,хаиши,хаирши,хуань ши
хаиыоу,хаиыу,хаирыеоу,хуань ю
хаизи,хаизи,хаирзи,хай цзы
ханыу,ханыу,ханныеу,хань юй
ханзи,хантзу,ханнтзых,хань цзы
хао,хао,хао,хао
хаочи,хаочих,хаочы,чи хао
хаокан,хаокан,хаоканн,хао кань
хаотинг,хаотинг,хаотинг,хао тин
хаоуоанр,хаоуоанр,хаоуоанр,эр хао вань
хао,хао,хауо,хао
хе,хо,хе,хэ
хе,хо,хер,хэ
хен,хен,хеен,хэнь
хоу,хоу,хоуо,хоу
хоутиан,хоутиен,хоуотиан,хоу тянь
хуа,хуа,хуа,хуа
хуа,хуа,хуах,хуа
хуаи,хуаи,хуаы,хуай
хуан,хуан,хуоан,хуань
хуи,хуи,хуоеи,хуэй (хой)
хуида,хуита,хуоеидар,да хуэй (хой)
хуидао,хуитао,хуоеидауо,дао хуэй (хой)
хуийиа,хуичиа,хуоеийиа,хуэй (хой) цзя
хуи,хуи,хуеы,хуэй (хой)
хуоче,хуоче,хуооче,чэ хо
йичанг,чичанг,йичаанг,чан цзи
йипиао,чипиао,йипиауо,цзи пяо
йидан,читан,йиданн,дань цзи
йи,чи,йии,цзи
йи,чи,йих,цзи
йиа,чиа,йиа,цзя
йиали,чиали,йиалии,цзя ли
йиарен,чиайен,йиарен,цзя жэнь
йиан,чиен,йиан,цзянь
йиан,чиен,йианн,цзянь
йианмиан,чиенмиен,йианнмианн,цзянь мянь
йиао,чиао,йиау,цзяо
йиао,чиао,йиауо,цзяо
йиаоxуелоу,чиаохсуехлоу,йиауошыуелоу,цзяо лоу сюэ
йиейие,чиехйие,йиеейие,цзе цзе
йиешао,чиехшао,йиехшауо,цзе шао
йинниан,чинниен,йинниан,цзинь нянь
йинтиан,чинтиен,йинтиан,цзинь тянь
йин,чин,йинн,цзинь
йинлаи,чинлаи,йиннлаи,цзинь лай
йинку,чинчу,йиннчиух,цзинь цюй
йиу,чиу,йеоу,цзю
йиу,чиу,йиоуо,цзю
юеде,чуехде,йыуеде,дэ цзюэ
каи,каи,каи,кай
каиче,каиче,каиче,чэ кай
каихуи,каихуи,каихуеы,хуэй (хой) кай
каиуоанxиао,каиуоанхсиао,каиуоаншиауо,кай вань сяо
канбинг,канпинг,каннбинк,бин кань
кандао,кантао,канндауо,дао кань
канйиан,канчиен,каннйианн,цзянь кань
као,као,као,као
каоши,каоших,каошых,као ши
ке,ко,кее,кэ
ке,ко,кех,кэ
кебен,копен,кехбеен,бэнь кэ
кеуоен,коуоен,кехуоен,кэ вэнь
коу,коу,кооу,коу
куаи,куаи,куаы,куай
куаи,куаи,куаы,куай
лаи,лаи,лаи,лай
лаидао,лаитао,лаидауо,дао лай
лао,лао,лао,лао
лаорен,лаойен,лаорен,лао жэнь
лаоши,лаоших,лаошы,лао ши
ле,ле,ле,лэ
леи,леи,леы,лэй
ленг,ленг,леенг,лэн
ли,ли,лии,ли
лианг,лианг,леанг,лян
линг,линг,линг,лин
линг,линг,линг,
лиу,лиу,лиоуо,лю
лоу,лоу,лоу,лоу
лоушанг,лоушанг,лоушанк,лоу шан
лоуxиа,лоухсиа,лоушиах,лоу ся
лу,лу,лух,лу
лукоу,лукоу,лухкооу,коу лу
мама,мама,мхама,ма ма
ма,ма,мха,ма
малу,малу,маалух,лу ма
машанг,машанг,маашанк,ма шан
маи,маи,мае,май
ман,ман,манн,мань
манг,манг,манг,ман
мао,мао,мау,мао
меи,меи,меи,мэй
меигуанxи,меикуанxи,меигуанxи,гуань мэй си
меишенме,меишенме,меишернме,мэй ши яо
меишир,меишихр,меишыхр,эр мэй ши
меиыоу,меиыу,меиыеоу,мэй ю
меимеи,меимеи,меымеи,мэй мэй
меи,меи,меы,мэй
мен,мен,мен,мэнь
менкоу,менкоу,менкооу,коу мэнь
менпиао,менпиао,менпиауо,мэнь пяо
мифан,мифан,миифанн,фань ми
мианбао,миенпао,мианнбау,бао мянь
миантиаор,миентиаор,мианнтыаур,эр мянь тяо
мингзи,мингзи,мингзи,мин цзы
мингбаи,мингбаи,мингбаи,бай мин
мингниан,мингниен,мингниан,мин нянь
мингтиан,мингтиен,мингтиан,мин тянь
на,на,на,на
на,на,наа,на
нали,нали,наалии,ли на
нар,нар,наар,эр на
наxие,нахсиех,наашие,на се
нар,нар,нахр,эр на
наxие,нахсиех,нахшие,на се
наи,наи,нае,най
наинаи,наинаи,наенаи,най най
нанхаир,нанхаир,нанхаирр,
наншенг,наншенг,наншенг,эр хай
не,не,не,шэн
ненг,ненг,ненг,
ни,ни,нии,
нимен,нимен,ниимен,ни
ниан,ниен,ниан,нэн
нин,нин,нин,ни
ниунаи,ниунаи,ниоунае,мэнь ни
пангбиан,пангпиен,парнгбиан,нянь
пенгыоу,пенгыоу,пернгыоу,нинь
пиао,пиао,пиауо,най ню
ки,чи,чи,бянь пан
ки,чи,чии,пэн ю
кичуанг,чичуанг,чиичуоанг,пяо
киче,чиче,чихче,ци
киан,чиен,чыан,ци
киантиан,чиентиен,чыантиан,чуан ци
киан,чиен,чыан,чэ ци
кианбао,чиенпао,чыанбау,цянь
кинг,чинг,чиинг,цянь тянь
кингйиа,чингчиа,чиингйиах,цянь
кингйин,чингчин,чиингйинн,бао цянь
кингуоен,чингуоен,чиингуоенн,цин
кингзуо,чингцо,чиингтзуох,цзя цин
киу,чиу,чыоу,цзинь цин
ку,чу,чиух,цин вэнь
куниан,чуниен,чиухниан,цин цзо
ре,йе,рех,цю
рен,йен,рен,цюй
ренши,йенши,реннши,нянь цюй
ренжен,йенчен,реннйен,жэ
ри,йих,рых,жэнь
рики,йихчи,рыхчи,жэнь ши
роу,йоу,роуо,жэнь чжэнь
сан,сан,сан,жи
шан,шан,шан,ци жи
шангчанг,шангчанг,шангчаанг,жоу
шангдиан,шангтиен,шангдианн,сань
шанг,шанг,шанк,шань
шангбан,шангпан,шанкбан,чан шан
шангче,шангче,шанкче,дянь шан
шангци,шангтзу,шанкцых,шан
шангке,шангко,шанккех,бань шан
шангуоанг,шангуоанг,шанкуооанг,чэ шан
шангуоу,шангуоу,шанкуоуу,цы шан
шангxуе,шангхсуех,шанкшыуе,кэ шан
шао,шао,шао,шан ван
шеи,шеи,шеир,шан у
шенти,шенти,шентии,шан сюэ
шенме,шенме,шернме,шао
шенгбинг,шенгпинг,шенгбинк,шуй
шенгки,шенгчи,шенгчих,шэнь ти
шенгри,шенгйих,шенгрых,ши яо
ши,ших,шыр,бин шэн
шихоу,шиххоу,шырхоу,ци шэн
шийиан,шихчиен,шырйиан,жи шэн
ши,ших,шых,ши
ши,ших,шых,хоу ши
ши,ших,шых,цзянь ши
шоу,шоу,шооу,ши
шоуйи,шоучи,шооуйи,ши
шу,шу,шу,ши
шубао,шупао,шубау,шоу
шудиан,шутиен,шудианн,цзи шоу
шу,шу,шух,шу
шуи,шуи,шоеи,бао шу
шуигуо,шуикуо,шоеигуоо,дянь шу
шуи,шуи,шуеы,шу
шуийиао,шуичиао,шуеыйиауо,шуй
шуохуа,шуохуа,шуохуах,го шуй
си,ссу,сых,шуй
сонг,сунг,сонк,цзюэ шуй
суи,суи,суеы,хуа шо
та,та,та,сы
тамен,тамен,тамен,сун
та,та,та,суй
тамен,тамен,тамен,та
таи,таи,таы,мэнь та
тиан,тиен,тиан,та
тианки,тиенчи,тианчих,мэнь та
тинг,тинг,тинг,тай
тингдао,тингтао,тингдауо,тянь
тингйиан,тингчиен,тингйианн,ци тянь
тингxие,тингхсиех,тингшиее,тин
тонгxуе,тунгхсуех,торнгшыуе,дао тин
тушугуан,тушукуан,туоушугоан,цзянь тин
уоаи,уоаи,уоаы,тин се
уоаигуо,уоаикуо,уоаыгуоо,тун сюэ
уоаиыу,уоаиыу,уоаыыеу,гуань шу ту
уоанр,уоанр,уоанр,вай
уоан,уоан,уооан,го вай
уоанфан,уоанфан,уооанфанн,вай юй
уоаншанг,уоаншанг,уооаншанг,эр вань
уоангшанг,уоангшанг,уооангшанк,вань
уоангыоу,уоангыу,уооангыеоу,фань вань
уоанг,уоанг,уоанк,шан вань
уоангйи,уоангчи,уоанкйих,шан ван
уоен,уоен,уоенн,ван ю
уоо,уоо,уооо,ван
уоомен,уоомен,уооомен,цзи ван
уоу,уоу,уоуу,вэнь
уоуфан,уоуфан,уоууфанн,во
xи,хси,ши,мэнь во
xибиан,хсипиен,шибиан,у
xи,хси,шии,фань у
xишоуйиан,хсишоучиен,шиишооуйиан,си
xихуан,хсихуан,шиихуан,бянь си
xиа,хсиа,шиах,си
xиабан,хсиапан,шиахбан,цзянь шоу си
xиаче,хсиаче,шиахче,хуань си
xиаци,хсиатзу,шиахцых,ся
xиаке,хсиако,шиахкех,бань ся
xиауоу,хсиауоу,шиахуоуу,чэ ся
xиаыу,хсиаыу,шиахыеу,цы ся
xиан,хсиен,шиан,кэ ся
xианшенг,хсиеншенг,шианшенг,у ся
xианзаи,хсиенцаи,шианнтзаы,ся юй
xианг,хсианг,шеанг,сянь
xиао,хсиао,шеау,шэн сянь
xиаохаир,хсиаохаир,шеаухаирр,сянь цзай
xиаопенгыоу,хсиаопенгыу,шеаупернгыеоу,сян
xиаоши,хсиаоших,шеаушыр,сяо
xиаоxуе,хсиаохсуех,шеаушыуе,эр хай сяо
xиаоxуешенг,хсиаохсуехшенг,шеаушыуешенг,пэн сяо ю
xиао,хсиао,шиауо,ши сяо
xие,хсиех,шиее,сяо сюэ
xиеxие,хсиехxие,шиехxие,шэн сяо сюэ
xин,хсин,шин,сяо
xинниан,хсинниен,шинниан,се
xингки,хсингчи,шингчи,се се
xингкири,хсингчийих,шингчирых,синь
xингкитиан,хсингчитиен,шингчитиан,нянь синь
xинг,хсинг,шынг,ци син
xиуxи,хсиуxи,шиоуxи,ци жи син
xуе,хсуех,шыуе,ци тянь син
xуешенг,хсуехшенг,шыуешенг,син
xуеxи,хсуеххси,шыуешыи,си сю
xуеxиао,хсуеххсиао,шыуешиауо,сюэ
xуеыуан,хсуехыуан,шыуеыуанн,шэн сюэ
ыао,ыао,ыауо,си сюэ
ыеые,ыехые,ыеые,сяо сюэ
ые,ыех,ыее,сюэ юань
ые,ыех,ыех,яо
ыи,и,и,е е
ыифу,ифу,ифу,е
ыишенг,ишенг,ишенг,е
ыиыуан,иыуан,иыуанн,и
ыидианр,итиенр,идеанр,фу и
ыонг,ыунг,ыонк,шэн и
ыоу,ыу,ыеоу,и юань
ыоуде,ыуде,ыеоуде,дянь эр и
ыоуминг,ыуминг,ыеоуминг,юн
ыоуxие,ыухсиех,ыеоушие,ю
ыоуыонг,ыуыунг,ыеоуыонк,дэ ю
ыоу,ыу,ыоуо,мин ю
ыоубиан,ыубиан,ыоуобиан,се ю
ыу,ыу,ыеу,юн ю
ыуан,ыуан,ыуан,ю
ыуан,ыуан,ыеуан,бянь ю
ыуе,ыуех,ыуех,юй
заи,цаи,тзаы,юань
заийиан,цаичиен,тзаыйианн,юань
заи,цаи,тзаы,юэ
заийиа,цаичиа,тзаыйиа,цзай
зао,цао,тзао,цзянь цзай
заофан,цаофан,тзаофанн,цзай
заошанг,цаошанг,тзаошанг,цзя цзай
зенме,ценме,тзеенме,цзао
жан,чан,янн,фань цзао
жао,чао,яо,шан цзао
жаодао,чаотао,яодауо,яо цзэнь
же,че,йех,чжань
жебиан,чепиен,йехбиан,чжао
жели,чели,йехлии,дао чжао
жер,чер,йехр,чжэ
жеxие,чехсиех,йехшие,бянь чжэ
жен,чен,йен,ли чжэ
женде,ченде,йенде,эр чжэ
женг,ченг,йенк,се чжэ
женгзаи,ченгцаи,йенктзаы,чжэнь
жидао,чихтао,йыдауо,дэ чжэнь
жиши,чихши,йыши,чжэн
жонг,чунг,йонг,цзай чжэн
жонггуо,чунгкуо,йонггуоо,дао чжи
жонгйиан,чунгчиен,йонгйиан,ши чжи
жонгуоен,чунгуоен,йонгуоен,чжун
жонгуоу,чунгуоу,йонгуоуу,го чжун
жонгxуе,чунгхсуех,йонгшыуе,цзянь чжун
жонгxуешенг,чунгхсуехшенг,йонгшыуешенг,вэнь чжун
жонгыао,чунгыао,йонкыауо,у чжун
жу,чу,юх,сюэ чжун
жунбеи,чунпеи,йоенбеы,шэн сюэ чжун
жуози,чози,юози,яо чжун
зи,тзу,тзых,чжу
зоу,цоу,тзооу,бэй чжунь
зоулу,цоулу,тзооулух,цзы чжо
зуи,цуи,тзуеы,цзы
зуихао,цуихао,тзуеыхао,цзоу
зуихоу,цуихоу,тзуеыхоуо,лу цзоу
зуотиан,цотиен,тзуоотиан,цзуй
зуо,цо,тзуоо,хао цзуй
зуобиан,цобиан,тзуообиан,хоу цзуй
зуо,цо,тзуох,тянь цзо
аикинг,аичинг,аычынг,цзо
анйинг,анчинг,анйинк,бянь цзо
анкуан,анчуан,анчыуан,цзо
баисе,паисе,баирсех,ай цин
банжанг,панчанг,баняанг,ань цзин
бан,пан,банн,ань цюань
банфа,панфа,баннфаа,бай сэ
бангонгши,панкунгших,баннгонгшых,бань чан
баные,паныех,банныех,бань
бангжу,пангчу,бангюх,бань фа
бао,пао,бао,бань гун ши
баоминг,паоминг,бауоминг,бань е
баожи,паочих,бауойыы,бан чжу
беифанг,пеифанг,бееифанг,бао
беи,пеи,беи,бао мин
биру,пию,бииру,бао чжи
бирушуо,пиюшуо,биирушуо,бэй фан
би,пи,бии,бэй
бийи,пичи,биийих,би жу
бийибен,пичипен,биийихбеен,би жу шо
биxу,пихсу,бихшиу,би
биан,пиен,биан,би цзи
биан,пиен,бианн,бэнь би цзи
бианченг,пиенченг,бианнчернг,би сюй
биан,пиен,бианн,бянь
биао,пиао,беау,бянь
биаоши,пиаоших,беаушых,бянь чэн
буйиу,пучиу,бухйеоу,бянь
буман,пуман,бухмаан,бяо
буру,пую,бухру,бяо ши
бушао,пушао,бухшао,бу цзю
бутонг,путунг,бухторнг,бу мань
буxинг,пухсинг,бухшынг,бу жу
буыидинг,пуитинг,бухидинк,бу шао
буфен,пуфен,бухфен,бу тун
цаи,цаи,цаир,бу син
цаидан,цаитан,цаыдан,бу дин и
цангуан,цанкуан,цангуан,бу фэнь
цанйиа,цанчиа,цанйиа,цай
цао,цао,цао,цай дань
цаоди,цаоти,цаодих,цань гуань
ценг,ценг,цернг,цань цзя
ча,ча,чар,цао
чабудуо,чабуто,чахбудуо,цао ди
чанг,чанг,чарнг,цэн
чангйиан,чангчиен,чарнгйианн,ча
чангыонг,чангыунг,чарнгыонк,бу ча до
чаогуо,чаокуо,чаугуох,чан
чаоши,чаоших,чаушых,чан цзянь
челианг,челианг,челианк,чан юн
ченг,ченг,ченг,чао го
ченг,ченг,чернг,чао ши
ченгйи,ченгчи,чернгйих,чэ лян
ченгуоеи,ченгуоеи,чернгуоеи,чэн
чонгфу,чунгфу,чорнгфух,чэн
чонгxин,чунгхсин,чорнгшин,чэн цзи
чуфа,чуфа,чуфа,чэн вэй
чугуо,чукуо,чугуоо,фу чжун
чукоу,чукоу,чукооу,синь чжун
чумен,чумен,чумен,чу фа
чушенг,чушенг,чушенг,чу го
чуxиан,чухсиен,чушианн,чу коу
чуыуан,чуыуан,чуыуанн,чу мэнь
чузу,чуцу,чутзу,чу шэн
чузуче,чуцуче,чутзуче,чу сянь
чуан,чуан,чуоан,чу юань
чуи,чуи,чуеи,чу цзу
чунйие,чунчиех,чуенйые,чэ чу цзу
чунтиан,чунтиен,чуентиан,чуань
ци,тзу,цыр,чуй
цидиан,тзутиен,цырдеан,чунь цзе
циыу,тзуыу,цырыеу,чунь тянь
цонгxиао,цунгхсиао,цорнгшеау,цы
даыинг,таыинг,даыинг,цы дянь
дагонг,такунг,даагонг,цы юй
дасуан,тасуан,даасуанн,цун сяо
даыин,таыин,дааыинн,да ин
дада,тата,дахдах,да гун
дадуошу,татошу,дахдуошух,да суань
дахаи,тахаи,даххае,да инь
дайиа,тачиа,дахйиа,да да
далианг,талианг,дахлианк,да до шу
дамен,тамен,дахмен,да хай
дашенг,ташенг,дахшенг,да цзя
даxиао,тахсиао,дахшеау,да лян
даыи,таи,дахи,да мэнь
дазиран,татзуян,дахтзыхран,да шэн
даи,таи,даы,да сяо
даилаи,таилаи,даылаи,да и
дануоеи,тануоеи,дануоеы,да жань цзы
дан,тан,данн,дай
данши,танших,данншых,дай лай
дан,тан,данн,дань вэй
данг,танг,данг,дань
дангши,тангших,дангшыр,дань ши
дао,тао,дао,дань
даочу,таочу,дауочух,дан
дао,тао,дауо,дан ши
дао,тао,дауо,дао
даолу,таолу,дауолух,чу дао
де,те,дер,дао
дечу,течу,дерчу,дао
дехуа,дехуа,дехуах,дао лу
де,де,де,дэ
денг,тенг,денг,чу дэ
денг,тенг,деенг,дэ хуа
денгдао,тенгтао,деенгдауо,дэ
денгыу,тенгыу,деенгыу,дэн
ди,ти,ди,дэн
дикиу,тичиу,дихчыоу,дао дэн
дитие,титиех,дихтиее,дэн юй
дитиежан,титиехчан,дихтиееянн,ди
диантоу,тиентоу,деантоур,ди цю
диан,тиен,дианн,ди те
диао,тиао,диауо,ди те чжань
донгбеи,тунгпеи,донгбееи,дянь тоу
донгфанг,тунгфанг,донгфанг,дянь
донгнан,тунгнан,донгнан,дяо
донгтиан,тунгтиен,донгтиан,бэй дун
донг,тунг,доонг,дун фан
донгде,тунгде,доонгде,дун
донгуоу,тунгуоу,донкуоух,дун тянь
донгуоуыуан,тунгуоуыуан,донкуоухыуан,дун
дуыин,туыин,дуоуин,дэ дун
ду,ту,дух,дун у
дуан,туан,доан,дун у юань
дуанxин,туанхсин,доаншинн,ду инь
дуан,туан,дуанн,ду
дуи,туи,дуеы,дуань
дуижанг,туичанг,дуеыяанг,дуань синь
дуи,туи,дуеы,дуань
дуихуа,туихуа,дуеыхуах,дуй
дуимиан,туимиен,дуеымианн,чан дуй
дуо,то,дуо,дуй
дуойиу,точиу,дуойеоу,дуй хуа
дуоме,томе,дуоме,дуй мянь
дуошу,тошу,дуошух,до
дуоыун,тоыун,дуоыун,до цзю
еркие,ерхчиех,ерлчиее,до яо
фа,фа,фа,до шу
фаxиан,фахсиен,фашианн,до юнь
фангуан,фанкуан,фаннгоан,эр це
фангбиан,фангпиен,фангбианн,фа
фангбианмиан,фангпиенмиен,фангбианнмианн,фа сянь
фангфа,фангфа,фангфаа,фань гуань
фангмиан,фангмиен,фангмианн,бянь фан
фангxианг,фангхсианг,фангшианк,бянь фан мянь
фангxиа,фангхсиа,фанкшиах,фа фан
фангxин,фангхсин,фанкшин,фан мянь
фен,фен,фен,фан сян
фенкаи,фенкаи,фенкаи,фан ся
феншу,феншу,феншух,фан синь
фенжонг,фенчунг,фенйонг,фэнь
фен,фен,фенн,фэнь кай
фенг,фенг,фенг,фэнь шу
фууоу,фууоу,фуоууоух,фэнь чжун
фуxи,фухси,фухшыи,фэнь
гаи,каи,гаи,фэн
гаи,каи,гае,фу у
гаибиан,каипиен,гаебианн,фу си
ганбеи,канпеи,ганбеи,гай
гандао,кантао,гаандауо,гай
гандонг,кантунг,гаандонк,бянь гай
ганюе,канчуех,гаанйыуе,бэй гань
ганxие,канхсиех,гааншиех,дао гань
ганхуор,канхуор,ганнхуоор,дун гань
ганг,канг,ганг,гань цзюэ
гангцаи,кангцаи,гангцаир,гань се
гаойи,каочи,гауйыи,эр гань хо
гаожонг,каочунг,гауйонг,ган
гези,кози,гехзи,цай ган
гонггонгкиче,кунгкунгчиче,гонггонкчихче,гао цзи
гонгйиаоче,кунгчиаоче,гонгйиауче,гао чжун
гонгйин,кунгчин,гонгйин,гэ цзы
гонгли,кунгли,гонглии,чэ гун гун ци
гонглу,кунглу,гонглух,чэ гун цзяо
гонгпинг,кунгпинг,гонгпынг,гун цзинь
гонгси,кунгссу,гонгсы,гун ли
гонгыуан,кунгыуан,гонгыуан,гун лу
гоу,коу,гооу,гун пин
гоу,коу,гоуо,гун сы
гуыи,куи,гухыих,гун юань
гуке,куко,гухкех,гоу
гуанйи,куанчи,гуанйи,гоу
гуанxин,куанхсин,гуаншин,гу и
гуандиан,куантиен,гуандеан,гу кэ
гуангчанг,куангчанг,гоангчаанг,гуань цзи
гуанггао,куангкао,гоанггауо,гуань синь
гуойи,куочи,гуоойих,дянь гуань
гуолаи,куолаи,гуохлаи,чан гуан
гуониан,куониен,гуохниан,гао гуан
гуоку,куочу,гуохчиух,го цзи
хаи,хаи,хае,го лай
хаибиан,хаипиен,хаебиан,го нянь
хан,хан,хаан,го цюй
хао,хао,хао,хай
хаодуо,хаото,хаодуо,бянь хай
хаойиу,хаочиу,хаойеоу,хань
хаорен,хаойен,хаорен,хао
хаоши,хаоших,хаошых,до хао
хаоxианг,хаохсианг,хаошианк,хао цзю
хеши,хоших,хершых,хао жэнь
хе,хо,хер,хао ши
хеи,хеи,хеи,хао сян
хеибан,хеипан,хеибаан,хэ ши
хеисе,хеисе,хеисех,хэ
хонг,хунг,хорнг,хэй
хонгсе,хунгсе,хорнгсех,бань хэй
хоулаи,хоулаи,хоуолаи,хэй сэ
хуран,хуян,хуран,хун
ху,ху,хуоу,хун сэ
хужао,хучао,хухяуо,хоу лай
хуа,хуа,хуа,ху жань
хуаыуан,хуаыуан,хуаыуан,ху
хуа,хуа,хуах,ху чжао
хуайиа,хуачиа,хуахйиа,хуа
хуар,хуар,хуахр,хуа юань
хуаирен,хуаийен,хуаырен,хуа
хуаныинг,хуаныинг,хуанынг,хуа цзя
хуан,хуан,хуанн,эр хуа
хуанг,хуанг,хуоанг,хуай жэнь
хуангсе,хуангсе,хуоангсех,хуань ин
хуи,хуи,хуоеи,хуань
хуигуо,хуикуо,хуоеигуоо,хуан
хуи,хуи,хуеы,хуан сэ
хуодонг,хуотунг,хуоодонк,хуэй (хой)
хуо,хуо,хуох,го хуэй (хой)
хуоже,хуоче,хуохйее,хуэй (хой)
йихуи,чихуи,йихуеы,дун хо
йи,чи,йи,хо
йи,чи,йыи,хо чжэ
йи,чи,йыи,хуэй (хой) цзи
йихуа,чихуа,йиххуах,цзи
йисуанйи,чисуанчи,йихсуаннйи,цзи
йиа,чиа,йиа,цзи
йиаыоу,чиаыу,йиаыоу,хуа цзи
йиа,чиа,йиа,цзи цзи суань
йиатинг,чиатинг,йиатынг,цзя
йиажанг,чиачанг,йиаяанг,цзя ю
йиа,чиа,йеа,цзя
йиаки,чиачи,йиахчи,цзя тин
йианча,чиенча,йеанчар,чан цзя
йиандао,чиентао,йианндауо,цзя
йиангуо,йиангуо,йиангуо,цзя ци
йиан,чиен,йианн,ча цзянь
йианканг,чиенканг,йианнканг,дао цзянь
йианг,чианг,йеанг,го цзянь
йиангхуа,чиангхуа,йеангхуах,цзянь
йиао,чиао,йиау,цзянь кан
йиаогеи,чиаокеи,йиаугееи,цзян
йиаотонг,чиаотунг,йиаутонг,хуа цзян
йиао,чиао,йеау,цзяо
йиаоду,чиаоту,йеаудух,гэй цзяо
йиаози,чиаози,йеаузи,цзяо тун
йиао,чиао,йеау,цзяо
йиаозуо,чиаоцо,йиауотзуох,ду цзяо
йиаоши,чиаоших,йиауошы,цзяо цзы
йиаоши,чиаоших,йиауошых,цзяо
йиаоыу,чиаоыу,йиауоыух,цзяо цзо
йие,чиех,йие,цзяо ши
йиедао,чиехтао,йиедауо,цзяо ши
йиешоу,чиехшоу,йиешоуо,цзяо юй
йиеxиалаи,чиеххсиалаи,йиешиахлаи,цзе
йиеже,чиехже,йиеже,дао цзе
йие,чиех,йие,цзе шоу
йие,чиех,йые,цзе лай ся
йиему,чиехму,йыемух,цзе чжао
йиери,чиехйих,йыерых,цзе
